date,open,high,low,close,volume,adjusted_close,change_percent,avg_vol_20d
1988-08-02,45.0016,45.5056,44.4976,44.6208,1082900,0.3115,-0.86,109732560.0
1988-08-03,44.7552,44.7552,44.0048,44.7552,989700,0.3124,0.29,107447200.0
1988-08-04,44.7552,45.248,44.4976,44.6208,615300,0.3115,-0.29,105612640.0
1988-08-05,44.4976,45.0016,44.2512,44.2512,470200,0.3089,-0.83,102976160.0
1988-08-08,44.4976,44.7552,44.0048,44.0048,267300,0.3072,-0.55,100791600.0
1988-08-09,44.0048,44.2512,42.9968,43.5008,1518100,0.3037,-1.14,104247920.0
1988-08-10,43.7472,43.7472,41.7536,41.8768,1319700,0.2924,-3.72,105879760.0
1988-08-11,42.2464,43.2544,42.0,43.2544,946900,0.302,3.28,108041920.0
1988-08-12,42.9968,42.9968,42.2464,42.504,691800,0.2967,-1.75,107764720.0
1988-08-15,42.2464,42.2464,40.4992,41.2496,1488200,0.2885,-2.76,110423600.0
1988-08-16,41.0032,43.2544,40.7456,42.504,1096000,0.2973,3.05,110446000.0
1988-08-17,42.504,42.7504,41.7536,42.0,1062000,0.2938,-1.18,110388880.0
1988-08-18,42.0,42.9968,41.7536,42.504,661300,0.2973,1.19,106640800.0
1988-08-19,42.504,42.7504,40.4992,40.7456,2030000,0.285,-4.14,112816480.0
1988-08-22,40.2528,40.7456,39.5024,39.7488,1519600,0.278,-2.46,116031440.0
1988-08-23,39.7488,40.2528,39.2448,39.5024,1460500,0.2763,-0.61,119133840.0
1988-08-24,39.7488,40.7456,39.5024,40.7456,1120300,0.285,3.15,119581280.0
1988-08-25,40.2528,40.4992,39.2448,40.1296,1140000,0.2807,-1.51,121331280.0
1988-08-26,39.9952,40.7456,39.9952,40.2528,358500,0.2815,0.29,115391360.0
1988-08-29,40.7456,41.0032,40.4992,40.88,511000,0.2859,1.56,113956080.0
1988-08-30,40.7456,41.0032,39.9952,40.88,451500,0.2859,0.0,110420240.0
1988-08-31,41.0032,41.1264,39.5024,39.872,2122200,0.2789,-2.45,116762240.0
1988-09-01,39.7488,39.7488,38.5056,38.8752,2203000,0.2719,-2.51,125653360.0
1988-09-02,39.5024,39.9952,38.9984,39.7488,1663400,0.278,2.24,132335280.0
1988-09-06,39.9952,39.9952,38.752,38.8752,1280800,0.2719,-2.19,138010880.0
1988-09-07,38.9984,39.5024,37.7552,38.248,1599200,0.2675,-1.62,138465040.0
1988-09-08,38.248,39.5024,37.7552,38.752,1850500,0.271,1.31,141437520.0
1988-09-09,38.752,41.0032,37.7552,40.4992,2095300,0.2833,4.54,147868560.0
1988-09-12,41.0032,41.7536,40.1296,41.0032,1321700,0.2868,1.24,151396000.0
1988-09-13,40.2528,41.2496,39.9952,41.0032,1068600,0.2868,0.0,149046240.0
1988-09-14,41.7536,42.3696,41.496,42.0,2130100,0.2938,2.44,154837200.0
1988-09-15,42.0,42.7504,41.496,41.6304,1480000,0.2912,-0.88,157178000.0
1988-09-16,41.496,42.7504,41.3728,42.2464,1105000,0.2955,1.48,159662720.0
1988-09-19,42.0,42.2464,41.2496,41.7536,822600,0.292,-1.18,152901280.0
1988-09-20,41.7536,42.2464,41.3728,41.496,916800,0.2902,-0.62,149525600.0
1988-09-21,41.7536,42.9968,41.496,42.7504,815600,0.299,3.03,145914160.0
1988-09-22,42.9968,44.0048,42.7504,44.0048,1300600,0.3078,2.94,146923840.0
1988-09-23,43.5008,44.2512,43.5008,43.7472,906100,0.306,-0.58,145614000.0
1988-09-26,43.7472,44.0048,42.504,42.7504,777100,0.299,-2.29,147958160.0
1988-09-27,42.504,43.5008,42.504,43.3776,1455200,0.3034,1.47,153245680.0
1988-09-28,43.5008,44.128,43.2544,43.5008,756200,0.3043,0.3,154952000.0
1988-09-29,43.7472,44.2512,43.5008,44.0048,947100,0.3078,1.15,148371440.0
1988-09-30,44.0048,44.0048,43.2544,43.2544,829400,0.3025,-1.72,140679280.0
1988-10-03,42.9968,43.2544,42.0,42.504,810500,0.2973,-1.72,135903040.0
1988-10-04,42.2464,42.7504,41.1264,41.496,461200,0.2902,-2.39,131313280.0
1988-10-05,41.2496,41.7536,40.4992,40.88,1100000,0.2859,-1.48,128517760.0
1988-10-06,40.4992,40.88,39.2448,39.7488,1497900,0.278,-2.76,126543200.0
1988-10-07,38.9984,39.7488,38.3712,39.7488,4085600,0.278,0.0,137688880.0
1988-10-10,39.5024,39.7488,37.4976,38.5056,2970000,0.2693,-3.13,146919360.0
1988-10-11,38.248,39.5024,38.248,38.9984,1737100,0.2728,1.3,150662960.0
1988-10-12,38.5056,38.9984,38.0016,38.752,1187000,0.271,-0.66,145381600.0
1988-10-13,38.5056,39.7488,38.5056,38.9984,1468400,0.2728,0.66,145316640.0
1988-10-14,39.5024,39.5024,38.1248,38.752,1404000,0.271,-0.66,146991040.0
1988-10-17,38.5056,38.9984,38.248,38.5056,836500,0.2693,-0.63,147068880.0
1988-10-18,38.9984,39.5024,38.248,39.3792,1273200,0.2754,2.27,149064720.0
1988-10-19,39.7488,40.7456,39.5024,39.9952,2476100,0.2797,1.56,158363520.0
1988-10-20,39.9952,41.6304,39.9952,41.496,1548800,0.2902,3.75,159753440.0
1988-10-21,41.2496,41.7536,40.7456,41.0032,1103600,0.2868,-1.17,160859440.0
1988-10-24,41.2496,41.2496,39.6256,39.9952,1206800,0.2797,-2.48,163265760.0
1988-10-25,40.2528,40.2528,39.7488,39.872,760600,0.2789,-0.29,159376000.0
1988-10-26,39.9952,39.9952,38.5056,39.2448,1685000,0.2745,-1.58,164577280.0
1988-10-27,38.752,39.2448,38.248,38.9984,1282900,0.2728,-0.62,166457760.0
1988-10-28,38.9984,39.5024,38.5056,38.5056,754300,0.2693,-1.28,166037200.0
1988-10-31,38.752,38.752,37.4976,38.6288,2168800,0.2702,0.33,173643680.0
1988-11-01,38.5056,38.752,37.7552,38.0016,1283000,0.2658,-1.63,178245760.0
1988-11-02,38.248,38.248,36.7472,37.2512,1861800,0.2605,-1.99,182511840.0
1988-11-03,37.2512,37.4976,36.7472,37.128,2164800,0.2597,-0.31,186246480.0
1988-11-04,36.7472,38.0016,36.7472,37.7552,1373200,0.2641,1.69,171057040.0
1988-11-07,37.2512,37.7552,37.0048,37.4976,1518600,0.2623,-0.68,162929200.0
1988-11-08,37.4976,38.752,37.3744,38.5056,1379700,0.2693,2.67,160927760.0
1988-11-09,38.248,39.3792,38.0016,39.2448,1801100,0.2745,1.93,164366720.0
1988-11-10,39.5024,39.7488,38.9984,39.5024,892100,0.2763,0.66,161139440.0
1988-11-11,38.9984,39.6256,38.5056,38.5056,970400,0.2693,-2.53,158711280.0
1988-11-14,38.752,38.9984,38.248,38.8752,761000,0.2719,0.97,158288480.0
1988-11-15,38.9984,39.2448,38.752,38.9984,714300,0.2728,0.33,155158640.0
1988-11-16,38.9984,39.2448,37.7552,38.0016,1320000,0.2658,-2.57,148684480.0
1988-11-17,38.0016,38.5056,38.0016,38.248,710200,0.2675,0.64,143988320.0
1988-11-18,38.5056,38.5056,38.0016,38.0016,514200,0.2658,-0.64,140687680.0
1988-11-21,37.4976,37.7552,36.2544,36.624,1981300,0.2568,-3.39,145024880.0
1988-11-22,36.5008,36.8704,35.9968,36.12,1323100,0.2533,-1.36,148174880.0
1988-11-23,35.7504,37.0048,35.504,36.8704,1678500,0.2586,2.09,148138480.0
